Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Free Float,Price to Earning,Price to book value,Dividend yield,Debt to equity,High price,Low price,EASYVESTSCORE,Soundness Score,Holding Score,Strength Score,Quality Score,Growth Score,Short Term Growth Score,AVG GS,Sentiment Score,Growth Rate,Return over 3years,Return over 1year,Return over 6months,Return over 3months,Return over 1month,Volume,Avg Value,Entry,Target,Stop Loss,First Target,Second Target,Third Target,Stop Loss per cent,Target Per cent,RR,EPS  AVG,EPS,Return on capital employed,Return on assets,Return on equity,Price to Sales,Price to Free Cash Flow,EVEBITDA,Minimum Volume,AVG MC,Fourth Target,Fifth Target,volt,G Factor,Is company taking new Debt
Creative Casting,539527,,Castings & Forgings,799.9,103.99,27.54,20.51,2.67,1.25,0,1195.75,496.05,0,83.55,100,91.43,55.17,60.53,71.43,64.16,35,24.48,31.1,32.74,13.61,7.38,4.95,148,0.01,973.77,791.45,850.68,791.45,923.93,1142.07,-5.97,-1.06,0.18,55.49,39,17.76,11.58,13.74,1.99,-241.83,14.36,0.04,109.97,1494.96,2066,1.1,4,1
Riddhi Corporate,540590,,Computers - Software - Medium / Small,87.55,103.9,64.92,15.3,1.92,0.56,2.11,258,86,0,66.38,100,57.14,37.93,52.63,42.86,49.37,30,18,-19.04,-57,-30.18,-31.23,-15.94,3001,0.03,220.03,152.48,203.97,152.48,178,220.03,-57.08,74.16,-1.3,6.55,5.72,11.51,4.23,20.43,0.6,-37.52,5.83,0.04,204.68,288.02,398.03,1.14,4,1
Advik Capital,539773,,Finance & Investments,2.42,103.62,104.64,16.29,0.92,0,0.7,4.35,1.9,0,28.24,0,60,24.14,68.42,52.38,63.07,20,36.8,-2.86,15.79,0.41,-24.61,-7.28,778083,0.19,4.28,3.6,3.68,3.6,4.21,5.2,-34.2,48.86,-1.43,0.26,0.15,10.11,3.67,7.43,0.12,-2.17,10.62,0.18,133.81,6.8,9.4,1.09,7,1
Secmark Consult.,543234,SECMARK,Computers - Software - Medium / Small,103,103.57,28.2,,6.67,0,0.69,145.37,70.75,0,60.28,100,48.57,27.59,50,71.43,57.14,55,-24.88,47.56,30.38,17.78,4.04,-7.25,217,0,114.43,121.22,95.14,103.84,121.22,149.84,8.27,17.69,2.14,5.59,-2.27,-7.74,-7.59,-13.76,4.21,-18.71,53.81,0.01,112.38,196.15,271.07,1.07,5,1
Tayo Rolls,504961,,Castings & Forgings,100.86,103.48,25.59,,,0,,118.49,67.02,0,41.14,100,5.71,13.79,7.89,9.52,8.44,65,,30.15,46.6,-14.88,2.57,8.57,9046,0.09,95.67,95.81,75.53,95.81,111.84,138.25,33.54,-5.01,-0.15,7.43,-3.22,-3.48,-7.38,,,-15582.87,,0.36,95.54,180.97,250.09,1.05,1,1
Cinevista,532324,CINEVISTA,Entertainment / Electronic Media Software,18.2,103.46,34.59,,1.27,0,0.19,25.25,11.75,0,53.28,100,28.57,27.59,26.32,19.05,23.89,60,8.71,13.95,49.79,2.25,-14.15,-5.7,16731,0.03,20.34,17.9,17.15,17.9,20.9,25.83,6.1,-1.64,-0.27,0.49,-1.31,-2.66,-4.25,-8.73,235.14,-23.78,-34.12,0.09,106.19,33.82,46.73,1.08,5,0
Delta Manufact.,504286,DELTAMAGNT,Electronics - Components,95.35,103.46,31.17,,3.85,0,1.48,132.75,72.4,0,62.28,100,54.29,27.59,10.53,28.57,16.54,65,-1.72,40,27.22,17.28,-13.83,-6.7,12255,0.12,89.49,102.21,82.04,87.55,102.21,126.34,16.22,7.19,0.44,1.29,-9.58,-7.93,-10.34,-32.2,1.24,-17.85,-114.66,0.37,111.81,165.37,228.54,1.06,2,0
Gokak Textiles,532957,,Textiles - Cotton/Blended,159.15,103.45,23.52,,,0,,250.05,23.61,0,54.45,100,17.14,44.83,15.79,4.76,12.11,75,,105.27,494.51,11.49,28.4,-29.75,4934,0.08,125.18,29.94,154.53,29.94,34.95,43.2,2.99,-81.19,-27.16,2.56,-33.77,-1.34,-13.75,,0.79,90.74,20.74,0.33,88.94,56.55,78.15,1.67,2,1
McNally Bharat,532629,MBECL,Engineering - Turnkey Services,5.1,103.31,72.03,,,0,,7.23,2.9,0,22.78,30,11.43,27.59,23.68,38.1,28.49,30,,-12.45,29.11,15.91,-20.93,25.93,673377,0.34,6.46,5.13,5.7,5.13,5.98,7.4,-10.49,0.5,-0.05,0.16,-40.67,-28.27,-95.34,,0.47,1.78,-37.19,0.48,107.18,9.68,13.38,1.1,1,1
Sameera Agro,,SAIFL,Food - Processing - Indian,86.4,102.9,48.34,9.6,1.12,0,0.03,185,77.05,0,75.52,100,71.43,51.72,44.74,0,29.82,5,36.8,,,,-24.67,-8.33,92000,0.79,179.24,146.09,156.4,146.09,170.54,210.81,-44.76,69.09,-1.54,20.48,9,68.59,18.45,57.11,0.56,-2203.2,7.2,1.64,155.92,275.95,381.35,1.1,5,1
Nilachal Refract,502294,,Refractories / Intermediates,50.46,102.74,42.45,,,0,74.72,112,29.6,0,55.17,100,42.86,17.24,18.42,28.57,21.8,45,,17.63,43.68,22.48,-36.81,-9.73,2383,0.01,44.75,25.93,69.22,25.93,30.27,37.41,-27.1,-48.62,1.79,0.83,-3.19,-2.02,-14.37,,79.64,-1403.71,-470,0.03,144.43,48.98,67.68,1.19,2,1
