Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Free Float,Price to Earning,Price to book value,Dividend yield,Debt to equity,High price,Low price,EASYVESTSCORE,Soundness Score,Holding Score,Strength Score,Quality Score,Growth Score,Short Term Growth Score,AVG GS,Sentiment Score,Growth Rate,Return over 3years,Return over 1year,Return over 6months,Return over 3months,Return over 1month,Volume,Avg Value,Entry,Target,Stop Loss,First Target,Second Target,Third Target,Stop Loss per cent,Target Per cent,RR,EPS  AVG,EPS,Return on capital employed,Return on assets,Return on equity,Price to Sales,Price to Free Cash Flow,EVEBITDA,Minimum Volume,AVG MC,Fourth Target,Fifth Target,volt,G Factor,Is company taking new Debt
Aanchal Ispat,538812,,Steel - Medium / Small,5.59,11.66,17.49,,0.69,0,5,19.05,5.59,0,30.34,40,17.14,34.48,21.05,57.14,33.08,30,-35,1.98,-60.91,-35.97,-26.45,-18.27,11965,0.01,11.7,7.36,11.77,7.36,8.59,10.62,-52.52,31.61,-0.6,0.37,-3,-3.93,-5.48,-31.23,0.11,7.17,-26.36,0.04,25.75,13.9,19.21,1.17,2,1
Galaxy Agrico,531911,,Castings & Forgings,42.67,11.65,2.82,,2.82,0,0.39,53.29,20.65,0,64.24,100,62.86,24.14,36.84,14.29,29.32,75,11.27,,52.39,24.95,-14.88,-11.1,6168,0.03,36.9,41.22,32.93,28.57,33.35,41.22,29.57,-3.39,-0.11,3.89,-2.05,-11,-8.79,-12.79,1.59,-19.2,-118.55,0.93,9.98,53.96,74.57,1.11,3,1
Anjani Finance,531878,,Finance & Investments,11.48,11.64,6.54,17.91,0.79,0,0,20.15,7.25,0,62.28,80,74.29,27.59,23.68,23.81,23.73,40,-36.8,17.48,43.5,23.18,-19.66,-6.51,5787,0.01,11.98,8.79,12.45,8.79,10.26,12.68,-7.81,-23.46,3,3.31,0.64,4.1,2.87,3.46,13.53,17.22,8.16,0.1,13.84,16.6,22.94,1.12,4,0
Suryavanshi Spg.,514140,,Textiles - Cotton/Blended,23.69,11.63,5.89,64.59,,0,,37.9,19.4,0,47.28,80,31.43,27.59,34.21,66.67,45.03,25,,32.78,4.04,-0.46,-5.01,-2.07,549,0,39.19,36.78,32.04,36.78,42.94,53.08,-26.06,55.27,-2.12,5.57,2.95,4.07,0.58,,17.62,17.07,30.01,0.02,14.04,69.48,96.02,1.07,1,0
Munoth Commun.,511401,,Trading,11.99,11.57,6.82,,0.81,0,0.11,15.6,4.85,0,34.31,40,31.43,31.03,23.68,19.05,22.14,75,,66.45,159.52,16.07,-6.11,4.62,1043,0,11.95,7.85,11.26,7.85,9.17,11.33,6.44,-34.5,-5.35,0.32,-0.33,0.25,-1.97,-2.2,,-63.95,187.57,0.02,9.82,14.84,20.5,1.16,4,1
Unjha Formul.,531762,,Pharmaceuticals - Indian - Formulations,25.77,11.55,6.46,41.25,4.23,0,0,34.99,10.55,0,56.59,40,71.43,58.62,55.26,42.86,51.13,85,19.9,39.56,105.34,64.77,22.13,13.62,5318,0.01,26.41,16.96,25.08,16.96,19.8,24.48,2.73,-34.18,-12.5,1.26,0.62,19.69,6.71,10.81,0.62,45.18,18.1,0.21,10.25,32.04,44.28,1.16,6,0
Amraworld Agrico,531991,,Trading,0.96,11.55,12.93,26.86,1.02,0,0,1.49,0.66,0,41.97,0,80,46.55,34.21,19.05,29.16,30,36.8,29.7,33.33,-7.69,-12.73,-6.8,504810,0.05,1.47,1.25,1.26,1.25,1.46,1.81,-23.79,30.35,-1.28,0.05,0.04,3.87,3.85,3.87,,-62.99,26.77,0.37,12.93,2.36,3.27,1.09,2,0
Gallops Enterp.,531902,,Construction,23.01,11.54,5.32,1153.58,7.74,0,0,29.9,16.36,0,67.38,80,80,37.93,28.95,0,19.3,80,17.55,79.33,8.03,14.48,-11.53,0.74,670,0,28.19,27.64,22.52,27.64,32.27,39.88,2.16,20.12,9.32,0.09,0.02,0.67,0.65,0.67,144.25,-82.18,1084,0.03,11.57,52.21,72.15,1.06,1,0
Libord Securitie,531027,,Finance & Investments,23.06,11.53,2.14,31.18,2.57,0,0,26.56,7.68,0,71.31,100,77.14,31.03,28.95,14.29,24.06,70,36.8,31.68,,168.45,95.92,97.77,159,0,23.42,14.56,22.45,14.56,17,21.01,2.7,-36.85,-13.67,0.31,0.74,11.82,8.53,8.75,576.5,-61.77,23.06,0.02,8.56,27.51,38.01,1.17,2,0
Naksh Precious,539402,,Trading,10.93,11.5,13.75,383.29,1.92,0,0.01,26.01,10.08,0,34.34,0,68.57,34.48,34.21,33.33,33.92,55,5.43,-24.1,-33.96,-41.2,-28.47,-2.24,1522,0,20.56,15.91,18.31,15.91,18.58,22.96,-40.31,45.6,-1.13,0.06,0.03,-0.66,0.38,0.5,23.47,-2.42,-1156,0.01,18.95,30.06,41.54,1.11,2,0
Disha Resources,531553,,Trading,15.71,11.5,5.61,3.81,0.3,0,0.06,22.56,7.08,0,48.78,70,45.71,27.59,39.47,38.1,39.01,40,,17.44,72.64,12.21,-8.98,-9.66,4956,0.01,20.27,13.42,19.07,13.42,15.67,19.37,-17.63,-14.55,0.83,3.15,4.13,7.55,7.6,8.29,8.16,-24.75,4.69,0.14,10.82,25.36,35.04,1.15,5,1
Joy Realty,508929,,Construction,47.58,11.42,6.38,,,0,,47.58,33.85,0,26.79,40,11.43,29.31,15.79,28.57,20.05,60,,71.27,47.58,27.53,10.22,4.99,720,0,43.61,54.71,34.29,54.71,63.87,78.95,38.75,14.99,0.39,1.79,-4.24,,-11.56,,,-17.94,-97.1,0.05,9.77,103.35,142.82,1.03,2,0
Parmax Pharma,540359,,Pharmaceuticals - Indian - Bulk Drugs,30.42,11.39,7.94,,113.81,0,53.73,37.9,24.18,0,21.14,40,8.57,13.79,5.26,19.05,9.86,75,-35,-18.98,4.9,-1.87,-6.37,1.4,1016,0,18.83,21.18,23.42,21.18,24.73,30.56,29.88,-30.37,-1.02,0.9,-15.37,-58.35,-34.91,-192.95,1.03,-16.88,-5.2,0.04,11.48,40.01,55.29,1.04,2,1
Genomic Valley,539206,,Miscellaneous,37,11.31,3.93,565.29,3.19,0,0,50.14,20.65,0,67.24,100,71.43,24.14,15.79,0,10.53,75,-36.8,,78.74,46.77,-2.63,21.75,7495,0.03,31.11,36.3,30.99,25.16,29.37,36.3,19.41,-1.89,-0.1,3.52,0.07,0.57,0.46,0.57,66.53,8.82,565,0.71,10.97,47.52,65.67,1.1,0,0
United Credit,531091,,Finance & Investments,21.16,11.28,4.74,6.88,0.39,0,0,30.06,11.84,0,63.41,80,65.71,41.38,71.05,76.19,72.77,5,36.8,24.25,32.5,18.94,-6.25,-8,1702,0,28.66,22.45,25.41,22.45,26.21,32.39,-16.74,6.09,-0.36,2.87,3.08,7.36,5.6,5.82,3.32,33.98,4.87,0.08,11.1,42.4,58.6,1.11,7,1
Sanchay Finvest,511563,,Finance & Investments,35.7,11.25,,,,0,0,70.77,7.03,37.62,59.17,80,74.29,17.24,15.79,0,10.53,45,-36.8,,432.84,-15.84,-15,1.28,10,0,24.58,6.16,43.74,6.16,7.19,8.89,-18.37,-82.75,4.5,0.91,,6.74,4.73,7.18,19.74,,-96.73,,,11.63,16.07,1.63,2,0
R G F Capital,539669,,Finance & Investments,0.75,11.25,9.11,,0.81,0,0,1.23,0.39,0,31.34,0,60,34.48,57.89,71.43,62.41,40,15.45,-11.99,,17.19,7.14,17.19,1277507,0.1,0.81,0.54,0.76,0.54,0.63,0.78,-1.33,-27.93,20.94,0.04,0,0,0,0,36.29,25.38,777,1.05,12.15,1.02,1.41,1.15,5,0
Mac Hotels,541973,,Hotels,37.5,11.25,3.43,,,0,,54.75,30.02,0,67.48,100,51.43,48.28,39.47,0,26.32,25,35.93,,-21.88,7.14,1.35,0,0,0,57.98,56.92,46.29,56.92,66.45,82.13,-18.98,51.78,-2.73,1.56,-0.27,17.89,-1.15,,1.96,-17.67,17.2,0,12.72,107.51,148.58,1.06,2,0
Kothari Indl,509732,,Trading,5.87,11.22,5.75,0.35,,0,0.87,5.87,1.8,0,37.48,0,65.71,48.28,60.53,33.33,51.46,75,36.8,,,,,53.66,75,0,5.25,4.92,4.96,3.41,3.98,4.92,18.28,-16.1,-0.88,13.22,16.58,216.5,63.9,,0.82,-2.8,0.39,0,7.32,6.45,8.91,1.16,5,0
Coastal Roadways,520131,,Miscellaneous,27.02,11.21,3.92,10.58,0.54,0,0.02,55.43,21,0,72.31,100,80,31.03,65.79,90.48,74.02,5,36.8,21.14,-29.49,-28.2,-35.13,-28.73,100,0,48.81,37.17,43.75,37.17,43.39,53.64,-38.24,37.57,-0.98,2.24,5.45,6.08,4.69,5.45,0.29,3.33,3.36,0.01,15.67,70.21,97.03,1.11,4,0
Anna Infrastruct,530799,,Construction,29.45,11.19,2.56,18.65,1.1,0,0,42.51,7.65,0,78.97,100,85.71,46.55,65.79,28.57,53.38,30,36.8,58.83,269.05,1.24,-4.35,1.1,473,0,34.31,14.5,35.94,14.5,16.93,20.93,-18.06,-50.75,2.81,1.26,1.58,7.97,5.88,6.08,6.66,49.37,12.38,0.05,9.53,27.4,37.86,1.32,4,0
Panabyte Tech,538742,,Trading,25.27,11.09,7.98,,4.46,0,1.19,30.45,13.26,0,16.21,0,28.57,20.69,36.84,95.24,56.31,75,-35,10.85,57.15,76.71,-6.41,-7.3,17926,0.05,16.77,20.35,18.82,14.11,16.47,20.35,34.29,-19.45,-0.57,0.06,-1.05,1.87,-1.56,-6.99,2.96,,61.09,0.57,9.62,26.64,36.82,1.09,2,1
Moongipa Capital,530167,,Finance & Investments,36.3,11.08,5.85,6.33,1.73,0,0,40,20.3,0,59.55,40,82.86,55.17,65.79,52.38,61.32,30,36.8,90.39,47.5,48.16,5.99,4.04,3667,0.01,41.25,38.49,33.82,38.49,44.93,55.54,7.34,6.03,0.82,6.05,5.73,34.85,30.59,31.62,1.2,-8.13,5.47,0.23,9.35,72.7,100.47,1.07,7,0
Eurotex Industri,521014,EUROTEXIND,Textiles - Cotton/Blended,12.7,11.08,4.04,,,0,,22.05,10,0,45.24,100,8.57,24.14,18.42,4.76,13.87,45,,22.85,-4.87,16.51,-23.03,-9.29,2079,0,10.13,8.76,13.63,8.76,10.23,12.64,-6.8,-31.03,4.56,0.43,-7.46,-24.52,-15.98,,17.59,-21.11,-33.43,0.07,13.94,16.55,22.87,1.08,2,1
Sharpline Broadc,543341,,Miscellaneous,6.6,11.07,10.74,7.14,0.5,0,0.47,13.23,4.95,0,30.48,0,45.71,48.28,28.95,4.76,20.89,30,-35,,8.02,-12.12,-14.62,-19.51,5068,0,12.44,9.39,11.18,9.39,10.96,13.54,-40.99,42.2,-1.03,3.77,0.92,6.33,3.52,8.7,0.35,3.09,7.53,0.03,15.27,17.73,24.5,1.12,4,1
Catvision Ltd,531158,,Trading,20.3,11.06,10.11,,0.47,0,0,41.18,11.22,0,38.41,0,74.29,41.38,44.74,38.1,42.52,40,28.58,36.57,53.21,31.82,-13.25,-3.33,3651,0.01,28.3,16.8,27.49,16.8,19.61,24.24,-26.15,-17.26,0.66,1.27,11,-2.29,-1.01,-1.27,0.55,2.76,23.5,0.07,14.41,31.73,43.84,1.19,3,0
Lippi Systems,526604,,Engineering,15.74,11.02,5.91,,0.5,0,0.04,22.68,12.26,0,52.28,80,45.71,27.59,18.42,19.05,18.63,55,,10.46,15.48,11.71,-13.04,-11.82,322,0,19.02,18.5,15.26,18.5,21.59,26.69,3.16,17.52,5.54,0.69,-1.23,-5.09,-3.54,-3.86,,5.85,-39.2,0.01,12.23,34.94,48.28,1.06,3,1
Sun Retail,542025,,Trading,0.71,11.02,12.42,,0.67,0,0.13,1.14,0.46,0,15.21,0,25.71,20.69,23.68,9.52,18.96,70,,-23.08,33.96,2.9,-15.48,1.43,480000,0.03,0.72,0.58,0.7,0.58,0.67,0.83,0.78,-18.77,-24.13,0.02,0.07,-7.03,-4.66,-10.03,0.11,6.8,-8.46,0.27,12.42,1.09,1.51,1.1,3,1
Risa Internatio.,530251,,Trading,0.69,11.01,11.85,,2.05,0,0.29,1.23,0.48,0,14.17,0,25.71,17.24,13.16,19.05,15.12,45,,25.39,16.95,-2.82,-12.66,4.55,132250,0.01,0.54,0.42,0.76,0.42,0.49,0.61,-9.23,-39.06,4.23,0.02,-0.93,-104.18,-64.25,-115.89,,-45.86,-0.85,0.08,13.64,0.79,1.1,1.11,4,1
Foundry Fuel,513579,,Miscellaneous,13.72,11,2.02,,,0,,14.58,2.33,0,58.76,100,45.71,25.86,0,19.05,6.35,75,,73,413.86,214.68,57.7,40,59,0,7.98,4.4,9.01,3.05,3.56,4.4,52.27,-67.94,-1.3,0.24,-0.31,,-208.33,,,-57.77,-62.32,0,6.76,5.76,7.96,1.37,1,1
Market Creators,526891,,Finance & Investments,10.44,10.96,2.93,,1.04,0,0.47,11.44,8,0,44.14,100,14.29,13.79,21.05,9.52,17.21,70,-36.8,45.21,12.99,16.78,-5,-0.48,51,0,7.15,8.82,7.07,8.82,10.3,12.73,47.67,-15.5,-0.33,0.24,-0.03,5.66,-0.03,-0.09,1.65,-5.07,3.46,0,10.21,16.66,23.03,1.03,4,1
Kandagiri Spinng,521242,,Trading,28.35,10.92,2.81,,,0,,30.14,12,0,48.83,100,11.43,32.76,18.42,38.1,24.98,75,,67.34,86.39,41.75,0.96,27.99,2405,0.01,13.32,15.17,18.63,10.51,12.27,15.17,52.2,-46.5,-0.89,0.89,-4.6,5.24,-11.76,,7.28,76.95,34.12,0.24,8.01,19.85,27.44,1.11,1,1
Rap Media,531583,,Construction,18.5,10.88,7.74,,1.35,0,0.43,30.45,13.02,0,31.24,40,28.57,24.14,18.42,23.81,20.22,35,,24.01,-36.21,6.02,-3.19,-15.99,325,0,21.26,17.65,18.82,17.65,20.6,25.47,-1.69,-4.59,2.72,0.62,-1.34,-9.34,-6.36,-9.36,,-13.7,-17.69,0.01,12.82,33.34,46.07,1.09,3,1
Tulasee Bio-Eth.,524514,,Chemicals,18.47,10.88,7.66,,13.11,0,8.71,33.28,18.46,0,45.14,80,37.14,13.79,5.26,23.81,11.45,25,,2.11,-12.05,-41.74,-13.97,-10.38,500,0,24.41,24.14,20.57,24.14,28.19,34.84,-10.2,30.72,-3.01,1.15,-0.22,-1.61,-1.55,-14.53,,,-139.23,0.01,15.26,45.6,63.02,1.06,2,1
Sabrimala Indus.,540132,,Trading,12.47,10.86,8.77,32.92,1.68,0,0,15.71,4.46,0,41.45,0,80,44.83,52.63,14.29,39.85,45,36.8,44.89,193.41,142.14,121.1,-9.04,100,0,13.8,8.46,13.28,8.46,9.87,12.2,-6.11,-32.19,5.27,0.19,0.38,7.92,4.78,5.23,1.95,232.48,20.28,0,8.77,15.97,22.07,1.18,4,0
Kuwer Industries,530421,,Packaging,11.96,10.85,6.08,8.68,0.73,0,2.16,15.37,7.4,0,50.38,80,31.43,37.93,26.32,47.62,33.42,25,-5.12,28.02,57.37,7.94,-12.06,-4.17,3564,0,15.57,14.03,12.99,14.03,16.38,20.25,-7.96,17.31,-2.18,0.44,1.38,5.24,0.38,1.46,0.18,-14.45,6.64,0.07,10.36,26.5,36.63,1.08,3,1
Abhinav Leasing,538952,,Finance & Investments,2.16,10.8,11.83,63.53,1.85,0,5.14,3.57,1.34,0,15.34,0,14.29,34.48,57.89,28.57,48.12,55,19.65,31.96,25.58,-22.58,-5.26,6.93,201457,0.04,3.06,2.31,2.75,2.31,2.7,3.34,-21.37,7.07,-0.33,0.03,0.03,9.83,0.32,2.97,0.32,6.81,18.96,0.37,12.28,4.37,6.04,1.12,5,1
VCU Data Managem,536672,,Trading,6.96,10.79,11.42,154.08,0.36,0,0,12.98,5.16,0,20.14,0,45.71,13.79,7.89,0,5.26,35,,4.04,13.36,16.19,-6.2,-6.07,13143,0.01,8.09,6.38,8.02,6.38,7.45,9.21,-13.23,-8.32,0.63,0.23,0.01,0.37,0.23,0.23,,-4.22,83.33,0.08,14.06,12.05,16.66,1.11,2,0
Premier,500540,PREMIER,Engineering,3.55,10.78,7.03,,,0,,4.52,1.85,0,10.21,0,11.43,20.69,26.32,28.57,27.07,65,,-0.92,65.12,-6.58,24.56,-13.41,7231,0,3.93,3.17,3.45,3.17,3.7,4.57,2.95,-10.83,-3.68,0.09,-3.43,,-5.37,,,8.63,-162.12,0.04,9.68,5.98,8.26,1.1,3,0
Vedant Asset,543623,,Finance & Investments,39,10.77,3.61,44.88,2.03,0,0,60,36,0,77.45,100,82.86,44.83,36.84,0,24.56,35,36.8,,-0.69,-11.36,-15.44,-8.77,72000,0.28,64.51,68.26,50.73,68.26,79.68,98.5,-23.12,75.02,-3.25,0.93,0.87,6.17,4.47,4.62,4.24,-121.33,18.56,7.78,13.44,128.93,178.18,1.05,3,0
Sailani Tours N,543541,,Travel Agencies,22.85,10.75,10.55,35.83,1.48,0,0.1,53.73,16.46,0,42.74,30,71.43,24.14,7.89,0,5.26,35,-11.93,,-25.25,-16.91,-27.67,-13.18,1600,0,33.55,21.81,33.21,21.81,25.46,31.47,-31.19,-4.55,0.15,1.07,0.64,6.01,3.02,4.32,0.46,-6.34,13.49,0.03,16.49,41.2,56.94,1.16,2,1
Viaan Industries,537524,,Trading,0.97,10.69,5.24,,,0,,1.38,0.49,0,40.31,80,8.57,31.03,21.05,42.86,28.32,35,,-13.33,49.23,51.56,-3,5.43,500540,0.05,1.28,0.93,1.17,0.93,1.08,1.34,-16.86,-4.22,0.25,0.04,-0.12,-18.25,-13.51,,13.71,-2.28,-42.63,0.93,10.3,1.75,2.43,1.13,2,1
Supertex Inds.,526133,,Textiles - Processing,9.42,10.68,13.14,97.08,0.36,0,0.78,18.77,8.71,0,27.38,0,45.71,37.93,18.42,33.33,23.39,25,-17.27,21.67,-13.58,1.73,-36.52,-25.24,10961,0.01,16.44,14.45,13.88,14.45,16.87,20.85,-32.14,53.37,-1.66,0.74,0.1,6.56,0.14,0.37,0.12,3.47,7.69,0.08,15.53,27.29,37.71,1.08,2,0
Chemo Pharma Lab,506365,,Pharmaceuticals - Indian - Bulk Drugs,71.05,10.65,6.17,8.88,0.83,0,0,87,27.17,0,37.34,0,77.14,34.48,36.84,0,24.56,15,36.8,34.04,108.97,65.77,-1.26,-15.42,438,0,78.09,51.52,73.55,51.52,60.14,74.34,-3.4,-27.49,8.08,4.64,8,13.44,9.74,9.84,,-110.25,2.75,0.05,8.56,97.31,134.48,1.15,4,0
NPR Finance,530127,,Finance & Investments,17.75,10.63,3.62,31.27,0.23,0,0.08,25.55,12.2,0,60.38,100,40,37.93,28.95,71.43,43.11,25,-11.34,12.31,-6.63,-5.59,-18.58,0.51,149,0,25.75,23.07,21.54,23.07,26.93,33.29,-17.61,29.98,-1.7,0.7,1.82,1.91,0.62,0.7,1.12,26.63,12.07,0.01,11.33,43.58,60.22,1.08,5,1
Gemstone Invest.,531137,,Finance & Investments,1.42,10.61,11.32,30.32,0.43,0,0,2.31,0.72,0,35.24,0,80,24.14,42.11,47.62,43.94,65,2.79,-2.46,89.33,46.39,30.28,-26.8,95921,0.01,1.71,1.13,1.61,1.13,1.31,1.62,-11.77,-20.77,1.76,0.05,0.05,2.06,1.44,1.44,5.03,-46.8,17.9,0.12,11.32,2.13,2.94,1.15,3,0
Sea TV Network,533268,,Entertainment / Electronic Media Software,8.83,10.61,3.53,,,0,,12.09,2.08,0,31.95,30,22.86,44.83,13.16,38.1,21.47,75,,70.23,287.28,154.47,-12.83,3.15,2496,0,4.48,2.63,7.47,1.82,2.13,2.63,18.18,-70.23,-3.86,0.08,25.3,,-22.63,,0.89,0.78,-14.27,0.06,8.5,3.44,4.76,1.34,2,0
Adline Chem Lab,524604,,Pharmaceuticals - Indian - Formulations,18.12,10.6,7.25,,,0,,28.97,6.55,0,19.14,0,42.86,13.79,7.89,19.05,11.61,75,,52.59,190.38,-26.99,-36.86,-30.07,5300,0.01,11.22,5.74,17.9,5.74,6.7,8.28,1.21,-68.34,-56.5,0.24,-0.26,,-272.73,,,157.64,-80.27,0.13,10.3,10.84,14.98,1.24,2,1
Welterman Intl.,526431,,Fertilizers,23.83,10.58,4.44,,,0,,27.72,9.17,0,38.72,80,11.43,22.41,5.26,4.76,5.1,70,,106.66,93.58,67.35,31.66,40.84,2350,0.01,24.46,16.85,22.71,16.85,19.67,24.32,4.91,-29.28,-5.96,2.59,-0.29,,-8.12,,,-112.34,-141.18,0.13,8.12,31.83,43.99,1.14,1,0
Siddha Ventures,530439,,Finance & Investments,10.54,10.54,10.09,13.34,0.26,0,0,15.81,5.6,0,34.45,0,60,44.83,28.95,4.76,20.89,75,-36.8,101.41,82.99,22.99,2.83,6.68,41402,0.04,9.05,9.47,9.77,6.56,7.66,9.47,7.87,-10.14,-1.29,3.67,0.79,1.91,1.95,1.96,36.34,-225.86,13.61,0.43,10.71,12.4,17.13,1.13,3,0
KMF Builders,531578,,Construction,8.61,10.49,4.18,21.86,0.83,0,0.03,9.5,3.75,0,65.31,80,80,31.03,47.37,9.52,34.75,80,25.92,29.12,105.98,117.97,-4.12,5.77,560,0,8.28,9.37,7.33,6.49,7.58,9.37,17.41,8.81,0.51,0.48,0.39,5.28,2.72,3.86,0.52,-9.35,2.65,0.01,8.08,12.26,16.95,1.11,3,0
Chemiesynth(Vapi,539230,,Chemicals,34.14,10.48,3.22,,0.92,0,1.37,34.14,21,0,43.21,100,5.71,20.69,23.68,19.05,22.14,75,-36.8,,70.7,62.57,,10.2,0,0,16.96,18.39,21.1,18.39,21.47,26.54,61.81,-46.12,-0.75,0.25,-1.27,0.96,-1.25,-3.38,0.64,-6.26,16.76,0,8.55,34.75,48.02,1.04,3,1
Univa Foods,526683,,Hotels,7.25,10.38,7.87,,,0,1.75,7.25,3.75,0,18.14,0,40,13.79,10.53,4.76,8.6,75,,73.01,21.85,31.82,9.02,4.32,8286,0.01,3.48,3.83,4.48,3.28,3.83,4.74,61.81,-47.11,-0.76,0.1,-0.5,-355,-258.18,,346,-56.55,-15.32,0.08,7.87,6.2,8.57,1.07,2,1
Wagend Infra,503675,,Finance & Investments,2.2,10.37,6.62,,1.13,0,0,2.2,0.61,0,24.1,0,60,10.34,26.32,28.57,27.07,75,-36.8,7.52,233.33,178.48,136.56,73.23,639499,0.14,0.94,0.81,1.36,0.56,0.66,0.81,61.81,-62.96,-1.02,0.01,0,0,-0.1,-0.11,8.94,-182.86,1003,2.13,6.62,1.07,1.47,1.18,4,0
Kashyap TeleMed.,531960,,Computers - Software - Medium / Small,2.17,10.36,6.26,,16.18,0,0,2.8,1.33,0,40.1,40,65.71,10.34,31.58,19.05,27.4,70,0,,56.12,15.43,-9.58,-5.65,9663,0,2.07,2.15,1.73,1.84,2.15,2.66,25.4,-0.83,-0.03,0.07,-0.01,-4.58,-4.41,-4.58,54.53,-776.32,-342.33,0.03,9.85,3.48,4.81,1.08,4,0
Indian Link Ch.,504746,,Trading,206.75,10.34,3.5,114.89,3.21,0,0,206.75,106.9,0,60.38,80,60,37.93,34.21,23.81,30.74,85,36.8,80.74,89.61,40.64,10.21,4.98,200,0,210.79,232.48,171.74,199.15,232.48,287.37,20.39,12.45,0.61,7.22,1.8,2.83,2.52,2.83,,-23.49,103,0.12,7.84,376.17,519.85,1.07,2,0
Photon Capital,509084,,Finance & Investments,68.46,10.34,3.06,,1.26,0,0.01,116.76,45.8,0,65.17,100,71.43,17.24,21.05,33.33,25.15,45,-36.8,35.86,-21.57,-18.42,7.24,-5.25,84,0,51.37,40.12,72.16,40.12,46.83,57.89,-5.12,-41.4,8.08,4.74,-13.08,3.02,-21.29,-21.44,41.36,-19.62,21.06,0.02,12.19,75.78,104.73,1.11,4,1
Panafic Industri,538860,,Finance & Investments,1.25,10.26,11.49,513.21,1.04,0,0,2.02,0.83,0,38.34,0,80,34.48,15.79,0,10.53,75,-36.8,57.49,19.05,22.55,-27.33,13.64,207642,0.03,0.94,0.76,1.25,0.76,0.89,1.09,0.13,-39.34,-299.42,0.04,0,0.3,0.2,0.2,15.09,2.96,253.5,0.23,11.7,1.43,1.98,1.1,2,0
Sanco Industries,,SANCO,Plastics Products,7.8,10.2,4.99,,,0,,9.3,3.95,0,42.31,80,14.29,31.03,31.58,19.05,27.4,35,,-3.39,-7.14,20.93,24.8,8.33,538,0,9.06,7.49,7.86,7.49,8.74,10.81,-0.79,-3.98,5.01,0.08,-0.42,-1.09,-0.87,,,10.15,-171.87,0.01,8.68,14.15,19.55,1.09,3,1
Shyamkamal Inv,505515,,Finance & Investments,10.05,10.19,8.54,,5.04,0,0,13.93,3.31,0,23.14,0,54.29,13.79,7.89,23.81,13.2,75,-7.12,-22.87,175.34,179.17,8.3,15.78,2246,0,8.69,6.68,8.68,4.63,5.4,6.68,15.77,-33.58,-2.13,0.13,-0.21,-10.5,-9.21,-10.77,,-14.16,-48.19,0.03,8.71,8.74,12.08,1.22,3,0
Garware Synth,514400,,Textiles - Products,17.5,10.17,4.57,,,0,,20.99,8.06,0,44.34,80,17.14,34.48,10.53,9.52,10.19,75,,9.28,105.88,10.97,6.9,19.05,2645,0,9.18,10.19,12.97,7.06,8.24,10.19,34.91,-41.78,-1.2,0.69,-0.09,-0.62,-2.14,,0.95,16.64,38.15,0.1,8.42,13.34,18.43,1.11,1,0
Mukta Agricultur,535204,,Trading,4.66,10.11,7.81,202.1,0.46,0,0.05,5.05,2.55,0,20.17,0,42.86,17.24,5.26,0,3.51,75,,21.63,79.23,41.21,14.5,21.67,73136,0.03,3.34,3.63,3.12,3.11,3.63,4.49,49.32,-22.1,-0.45,3.88,-0.89,0.29,0.21,0.22,,-137.89,159.29,0.44,8.25,5.87,8.12,1.07,2,0
Parker Agrochem,524628,,Miscellaneous,21.17,10.11,4.09,9.45,2.48,0,0.21,29.13,8.14,0,68.55,80,68.57,55.17,47.37,0,31.58,15,22.08,38.61,137.33,-9.18,-18.58,-20.11,3852,0.01,25.24,15.28,24.38,15.28,17.84,22.05,-13.17,-27.83,2.11,3.33,2.24,25.53,20.98,30.14,1.85,-84.68,8.35,0.2,8.94,28.86,39.88,1.18,4,1
Sh. Rajas. Synt.,503837,,Textiles - Spinning - Synthetic / Blended,7.35,10.07,3.73,,0.76,0,1.16,7.35,2.99,0,49.57,70,22.86,56.9,39.47,38.1,39.01,75,,23.73,126.15,21.29,10.19,5,2539,0,7.07,8.18,6.21,5.67,6.62,8.18,18.28,11.3,0.62,0.33,81.85,26.44,-0.16,,0.4,0.46,7.08,0.05,7.08,10.71,14.8,1.1,4,0
Yogi Infra Proj.,522209,,Construction,5.97,10.06,4.72,9.15,0.22,0,0.98,7,3.14,0,52.55,80,22.86,55.17,23.68,52.38,33.25,60,-35,1.67,73.04,49.25,15.03,-2.61,1029,0,6.94,5.95,5.92,5.95,6.95,8.59,0.88,-0.27,-0.31,0.09,0.62,1.97,0.31,2.66,0.07,-2.31,28.88,0.01,8.52,11.25,15.54,1.09,4,1
Kobo Biotech,531541,,Pharmaceuticals - Indian - Bulk Drugs & Formln,4.22,10.05,5.27,,,0,,6.01,2.04,0,42.31,80,14.29,31.03,18.42,19.05,18.63,40,,-10.47,58.05,40.67,-20.83,4.71,4856,0,4.66,3.27,4.3,3.27,3.82,4.72,-1.85,-22.44,12.1,0.14,-2.07,-52.9,-6.72,,,0.28,-173.91,0.04,9.58,6.18,8.54,1.14,3,0
Arihant's Secur.,531017,,Finance & Investments,20.09,10.05,4.81,9.66,0.25,0,0,27.9,8.25,0,67.86,80,82.86,36.21,57.89,23.81,46.53,15,36.8,63.94,111.92,1.93,-12.19,3.03,54593,0.11,24.73,15.64,23.59,15.64,18.26,22.57,-14.83,-22.14,1.49,3.35,2.08,4.82,3.23,3.41,3.58,24.5,6.62,2.28,9.04,29.55,40.83,1.17,5,0
